city,state,latitude,longitude,population,is_state_capital,cafes,universities,malls,hotels,airports,cafe_density,university_density,mall_density,hotel_density
Ahmedabad,Gujarat,23.0219,72.5797,8009000,False,45,11,16,48,1,0.5618678986140592,0.13734548632788113,0.19977525284055436,0.5993257585216631
Bhopal,Madhya Pradesh,23.25,77.4167,1798218,True,33,9,12,48,1,1.8351501319639776,0.5004954905356302,0.6673273207141737,2.6693092828566947
Chandigarh,Chandigarh,30.7364,76.7883,1055450,True,21,7,15,72,2,1.9896726514756737,0.663224217158558,1.4211947510540528,6.821734805059453
Chennai,Tamil Nadu,13.0825,80.275,12395000,True,210,9,21,228,2,1.6942315449778138,0.07260992335619201,0.16942315449778136,1.8394513916901978
Coimbatore,Tamil Nadu,11.0008,76.9633,2136916,False,59,11,6,52,1,2.760988265331908,0.514760524044932,0.280778467660872,2.433413386394224
Delhi,Delhi,28.66,77.23,32226000,True,436,34,75,396,4,1.3529448271581952,0.10550487184261155,0.23273133494693723,1.2288214485198288
Hyderabad,Telangana,17.3617,78.4747,10494000,True,293,225,118,231,6,2.7920716599961883,2.144082332761578,1.124452067848294,2.20125786163522
Indore,Madhya Pradesh,22.7186,75.855,1994397,False,64,27,14,42,1,3.2089899854442216,1.3537926501092812,0.7019665593159236,2.1058996779477708
Jaipur,Rajasthan,26.915,75.82,3073350,True,105,8,24,181,1,3.4164673727365904,0.26030227601802597,0.7809068280540779,5.8893389949078365
Kanpur,Uttar Pradesh,26.4725,80.3311,4581268,False,25,6,6,18,3,0.5457004479982398,0.13096810751957755,0.13096810751957755,0.39290432255873264
Kochi,Kerala,9.9667,76.2833,677381,False,304,13,29,412,1,44.8787314672245,1.9191562798484163,4.28119477812339,60.822491330580576
Kolkata,West Bengal,22.5675,88.37,21747000,True,121,40,40,122,2,0.556398583712696,0.18393341610337058,0.18393341610337058,0.5609969191152803
Lucknow,Uttar Pradesh,26.847,80.947,3382000,True,31,15,20,64,2,0.9166173861620344,0.44352454169130695,0.5913660555884093,1.8923713778829094
Mumbai,Maharashtra,19.0758,72.8775,24973000,True,384,28,58,257,2,1.5376606735274096,0.11212109077804028,0.23225083089736917,1.029111440355584
Nagpur,Maharashtra,21.1497,79.0806,2405665,False,27,11,13,25,1,1.122350784502414,0.4572540233157983,0.5403911184641254,1.039213689354087
Patna,Bihar,25.61,85.1414,2046652,True,38,6,23,45,1,1.8566908297062714,0.29316170995362184,1.123786554822217,2.1987128246521634
Pune,Maharashtra,18.5211,73.8553,8231000,False,376,61,68,162,4,4.568096221601263,0.7411007168023326,0.82614506135342,1.9681691167537358
Raipur,Chhattisgarh,21.2379,81.6337,1010087,True,10,8,12,8,1,0.9900137314904558,0.7920109851923647,1.188016477788547,0.7920109851923647
Ranchi,Jharkhand,23.3556,85.3347,1073440,True,12,11,18,33,1,1.117901326576241,1.0247428826948874,1.6768519898643612,3.0742286480846626
Surat,Gujarat,21.205,72.84,6538000,False,14,3,11,6,1,0.21413276231263384,0.04588559192413582,0.168247170388498,0.09177118384827164
Thiruvananthapuram,Kerala,8.4875,76.9525,743691,True,150,13,21,250,1,20.16966724082986,1.7480378275385882,2.8237534137161804,33.616112068049766
Vadodara,Gujarat,22.3,73.2,3500000,False,18,6,6,10,1,0.5142857142857143,0.17142857142857143,0.17142857142857143,0.2857142857142857
